city,city_ascii,state_id,state_name,lat,lng,population,population_proper
Tucson,Tucson,AZ,Arizona,32.1558,-110.8777,860333,530706
Fort Worth,Fort Worth,TX,Texas,32.7813,-97.3466,854113,854113
El Paso,El Paso,TX,Texas,31.8478,-106.431,845059,683080
McAllen,McAllen,TX,Texas,26.2203,-98.2457,798187,142212
Omaha,Omaha,NE,Nebraska,41.2634,-96.0453,792463,446970
Albuquerque,Albuquerque,NM,New Mexico,35.1055,-106.6476,759517,559277
Birmingham,Birmingham,AL,Alabama,33.5276,-86.7986,749299,212157
Dayton,Dayton,OH,Ohio,39.7798,-84.1999,718772,140489
Rochester,Rochester,NY,New York,43.1681,-77.6162,714852,208880
Sarasota,Sarasota,FL,Florida,27.3391,-82.5439,701487,56610
Fresno,Fresno,CA,California,36.7834,-119.7933,690895,522053
Allentown,Allentown,PA,Pennsylvania,40.5962,-75.4756,678169,120443
Tulsa,Tulsa,OK,Oklahoma,36.1284,-95.9037,674211,403090
Concord,Concord,CA,California,37.9722,-122.0016,649437,128726
Springfield,Springfield,MA,Massachusetts,42.1155,-72.5395,625300,154074
Colorado Springs,Colorado Springs,CO,Colorado,38.8673,-104.7605,624789,465101
Cape Coral,Cape Coral,FL,Florida,26.644,-81.9961,617896,179804
Charleston,Charleston,SC,South Carolina,32.8137,-79.9643,613847,134385
Mission Viejo,Mission Viejo,CA,California,33.6095,-117.655,602851,96396
Albany,Albany,NY,New York,42.6664,-73.7987,596419,98111
Grand Rapids,Grand Rapids,MI,Michigan,42.9615,-85.6557,595467,196445
Baton Rouge,Baton Rouge,LA,Louisiana,30.4422,-91.1314,589675,227715
Knoxville,Knoxville,TN,Tennessee,35.969,-83.9498,581787,186239
Ogden,Ogden,UT,Utah,41.2281,-111.9677,571457,86701
Columbia,Columbia,SC,South Carolina,34.0366,-80.9043,571249,134309
Bakersfield,Bakersfield,CA,California,35.3528,-119.0354,567585,376380
Akron,Akron,OH,Ohio,41.0802,-81.5219,565311,197633
New Haven,New Haven,CT,Connecticut,41.3112,-72.9245,563460,129934
Provo,Provo,UT,Utah,40.2458,-111.6457,501690,116868
Worcester,Worcester,MA,Massachusetts,42.2705,-71.8079,495856,184508
Toledo,Toledo,OH,Ohio,41.6639,-83.582,492237,278508
Mesa,Mesa,AZ,Arizona,33.4016,-111.718,484587,484587
Palm Bay,Palm Bay,FL,Florida,27.9861,-80.6628,483098,110104
Wichita,Wichita,KS,Kansas,37.6894,-97.344,482205,389902
Des Moines,Des Moines,IA,Iowa,41.5725,-93.6104,476689,215472
Murrieta,Murrieta,CA,California,33.572,-117.1909,476630,111674
Staten Island,Staten Island,NY,New York,40.5834,-74.1496,476015,476015
Long Beach,Long Beach,CA,California,33.8059,-118.161,470130,470130
Greenville,Greenville,SC,South Carolina,34.8364,-82.3649,462640,67453
Little Rock,Little Rock,AR,Arkansas,34.7255,-92.3584,442554,198541
Harrisburg,Harrisburg,PA,Pennsylvania,40.2752,-76.8843,438995,48904
Madison,Madison,WI,Wisconsin,43.0809,-89.3921,434967,252551
Denton,Denton,TX,Texas,33.2165,-97.1411,432200,133808
Reno,Reno,NV,Nevada,39.5487,-119.8486,427007,245255
Port Saint Lucie,Port Saint Lucie,FL,Florida,27.2795,-80.3882,422966,185132
Oakland,Oakland,CA,California,37.7903,-122.2165,420005,420005
